case:concept:name,days
Application_1000086665,32.58559282407408
Application_1000158214,8.03303747685185
Application_1000311556,30.586241759259263
Application_1000334415,13.629359155092594
Application_1000339879,12.843500474537038
Application_100034150,11.137504212962963
Application_1000386745,10.977406493055556
Application_1000474975,12.812195208333334
Application_1000557783,12.750729965277777
Application_1000604502,33.407649293981486
Application_1000610355,27.010209108796293
Application_1000647090,30.158244074074076
Application_1000671285,8.86251099537037
Application_1000691650,42.83841898148148
Application_1000806256,16.092393599537036
Application_1000856802,17.584448564814814
Application_1000867366,8.597974108796295
Application_1000956993,33.894149594907404
Application_1001114274,28.918391979166664
Application_1001177986,28.419570138888886
Application_1001274919,8.292574872685186
Application_1001484676,20.034338263888888
Application_1001624285,26.004940266203704
Application_1001854554,31.938854733796298
Application_1001858108,9.275705648148149
Application_1001866944,35.81843706018518
Application_1002013470,21.846329918981482
Application_1002032547,31.820647372685187
Application_1002051388,20.101322824074074
Application_1002129113,44.508541099537034
Application_1002324382,9.695340266203704
Application_1002348901,31.428532199074073
Application_100239804,8.063128599537038
Application_1002442935,35.39633320601852
Application_1002485344,95.37450077546296
Application_1002567868,6.72015681712963
Application_1002602375,17.828507997685186
Application_1002626536,17.614716157407408
Application_1002664914,30.675535405092592
Application_1002747267,7.245097939814816
Application_1002843616,17.05504818287037
Application_1002961837,42.05304943287037
Application_1002996676,33.70350724537037
Application_100305707,13.854977349537037
Application_1003092772,11.933358252314815
Application_1003146166,30.794527233796295
Application_1003184938,10.775282569444444
Application_1003213123,8.939368958333333
Application_1003239424,33.76708103009259
Application_1003257895,48.09099579861111
Application_1003264681,16.946797002314813
Application_1003291296,32.42550571759259
Application_1003335792,32.393726388888886
Application_1003444518,57.998339907407406
Application_1003445359,12.599883472222222
Application_1003568418,33.42003710648148
Application_1003575962,34.430053668981486
Application_1003594594,31.669405659722223
Application_1003634925,30.06140824074074
Application_1003639640,8.059916284722222
Application_1003879772,75.56829729166667
Application_1003896153,8.238740555555555
Application_1003963311,12.87226150462963
Application_1004293292,10.740438761574074
Application_1004303396,25.008717881944445
Application_1004317586,8.68221400462963
Application_100433898,6.896249201388889
Application_1004385970,10.166706620370372
Application_1004515382,6.2258940162037035
Application_1004573204,30.581586331018517
Application_1004581995,32.622416793981486
Application_1004601801,9.650914814814815
Application_1004618053,27.118088171296296
